Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====


Obj funtion: (0.012868424429880572, 0.0056066293071422284)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424432538968, 0.005606629311895526)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424435741283, 0.005606629310265457)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424437907987, 0.005606629318802101)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424452094277, 0.005606629318006668)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424498630387, 0.005606629354540546)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424456136347, 0.005606629359343359)   (rho_normalized calls: 189) 


Obj funtion: (0.01286842443137328, 0.005606629327833367)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424400719291, 0.005606629334404086)   (rho_normalized calls: 189) 


Obj funtion: (0.01286842443261334, 0.005606629312388979)   (rho_normalized calls: 189) 


Obj funtion: (0.01286842443263881, 0.005606629312628829)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424432458767, 0.005606629311047355)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424432862671, 0.005606629312868386)   (rho_normalized calls: 189) 


Obj funtion: (0.01286842443264952, 0.005606629312435)   (rho_normalized calls: 189) 


Obj funtion: (0.01286842443286598, 0.005606629312760244)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424433072484, 0.005606629313188215)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424432989661, 0.005606629312029829)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424433248444, 0.005606629317043603)   (rho_normalized calls: 189) 


Obj funtion: (0.0128684244308154, 0.005606629309389112)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424432144917, 0.005606629311646237)   (rho_normalized calls: 189) 


Obj funtion: (0.012868424430360669, 0.005606629332515819)   (rho_normalized calls: 189) 


Obj funtion: (0.012705138442908003, 0.007254001409397799)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138413364434, 0.0072540014259298005)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138712576062, 0.007254001784014404)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513844594139, 0.007254001842243673)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138439219717, 0.00725400114577832)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138692241491, 0.007254002592380369)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138842503802, 0.007254001395575999)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138443040817, 0.00725400140932348)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138440301862, 0.007254001408075999)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138422362493, 0.007254001384022122)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513843914476, 0.007254001400890132)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513844289763, 0.007254001408668082)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138445960213, 0.007254001407653952)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442110565, 0.007254001409844036)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138456124091, 0.007254001417226339)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138508048885, 0.007254001493894323)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138475811135, 0.007254001491562227)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442587756, 0.00725400143737863)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138408397224, 0.0072540014229478126)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442891888, 0.00725400140940682)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442878273, 0.007254001409213825)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442406484, 0.007254001409184376)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138443096169, 0.007254001409662487)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513844286206, 0.0072540014094083696)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513844309638, 0.007254001409612208)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138442996512, 0.007254001409348273)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138443185174, 0.007254001410527482)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138444120329, 0.007254001410202686)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138441998956, 0.007254001408875918)   (rho_normalized calls: 147) 


Obj funtion: (0.01270513844220017, 0.007254001407902281)   (rho_normalized calls: 147) 


Obj funtion: (0.012705138440728342, 0.007254001427369483)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768069475, 0.0063596241009953106)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207785100213, 0.0063596240905327145)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020812300483, 0.006359624400316483)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207643668756, 0.006359624309794747)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020759843086, 0.006359623629631441)   (rho_normalized calls: 147) 


Obj funtion: (0.012250208200908264, 0.006359625396778387)   (rho_normalized calls: 147) 


Obj funtion: (0.012250208140815965, 0.006359624087636487)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207769123857, 0.006359624100347565)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207766789093, 0.006359624098988756)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207749884712, 0.006359624079738453)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207764694519, 0.006359624092849514)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768307111, 0.006359624100517511)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207771131429, 0.0063596240996545116)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207762137071, 0.006359624104639805)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020777507058, 0.006359624111690814)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207825024364, 0.0063596241696206)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020780058864, 0.006359624178491202)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207765591804, 0.006359624130284909)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020773086585, 0.00635962411146459)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020776809932, 0.006359624100976978)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207767981636, 0.006359624100845687)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207767704802, 0.006359624100990294)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768214515, 0.006359624101383894)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768000544, 0.006359624100971281)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768258416, 0.006359624101171791)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207767895756, 0.006359624101102031)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020776860027, 0.006359624101936218)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768833236, 0.00635962410090668)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207768170228, 0.0063596241005907835)   (rho_normalized calls: 147) 


Obj funtion: (0.01225020776737698, 0.006359624099480352)   (rho_normalized calls: 147) 


Obj funtion: (0.012250207766040098, 0.006359624116648128)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570302560558, 0.0053292720791474546)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570306098628, 0.005329272051462017)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570322085406, 0.005329272283025421)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703014089073, 0.005329271944872887)   (rho_normalized calls: 147) 


Obj funtion: (0.011595702797785329, 0.005329271364557784)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703538442881, 0.005329273344946616)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570335458834, 0.005329272068040435)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703027049873, 0.005329272078017296)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703026857137, 0.005329272075817722)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703011669834, 0.005329272064914177)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703022936039, 0.005329272075391813)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025698859, 0.005329272078404067)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703028728446, 0.005329272078152589)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703017584964, 0.005329272085423597)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703020355628, 0.005329272093562264)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570306783834, 0.005329272122510414)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703048943466, 0.005329272123209094)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703019167474, 0.005329272110748016)   (rho_normalized calls: 147) 


Obj funtion: (0.011595702984004632, 0.005329272086203734)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025654774, 0.0053292720791089645)   (rho_normalized calls: 147) 


Obj funtion: (0.01159570302555435, 0.005329272079004902)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025227055, 0.005329272079211691)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025764962, 0.005329272079251999)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025572671, 0.005329272079148564)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025791656, 0.005329272079276972)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025326238, 0.005329272079366044)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025898766, 0.005329272079787665)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703026460208, 0.005329272078696295)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703025434837, 0.005329272080643213)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703024443396, 0.0053292720772428435)   (rho_normalized calls: 147) 


Obj funtion: (0.011595703023832414, 0.005329272092099494)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780608212, 0.005389754085713768)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644839808878, 0.0053897540481354245)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564496618768, 0.0053897539679149415)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644646891477, 0.00538975402832448)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644788528974, 0.005389754107254804)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644694575542, 0.005389753891092658)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564511076678, 0.005389754069555813)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644782597954, 0.005389754084450757)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564478307119, 0.005389754084150362)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644770259383, 0.0053897540800667085)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644781003466, 0.00538975408763911)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780475624, 0.005389754084282061)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564478372495, 0.005389754084696203)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564476975936, 0.0053897540926002106)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644769924765, 0.005389754092495215)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644810984723, 0.005389754100291992)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644756989637, 0.005389754028812643)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644765645306, 0.00538975408965089)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644739371325, 0.005389754092589865)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780685161, 0.005389754085664925)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780541228, 0.005389754085756289)   (rho_normalized calls: 147) 


Obj funtion: (0.0113356447803536, 0.005389754085287057)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780946313, 0.005389754086328073)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780656146, 0.005389754085942606)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564478079397, 0.005389754085827818)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644780182747, 0.0053897540859838364)   (rho_normalized calls: 147) 


Obj funtion: (0.01133564478094903, 0.005389754085497427)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644781085025, 0.005389754086695562)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644777385915, 0.005389754078541512)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644779223893, 0.005389754082147355)   (rho_normalized calls: 147) 


Obj funtion: (0.011335644778845506, 0.005389754098810687)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001422914, 0.005183354131644326)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069008918685, 0.005183354126886292)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069000073212, 0.005183354132501064)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068981749094, 0.005183354071537955)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068973123851, 0.005183353982105099)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069011387056, 0.0051833542622433575)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069333000117, 0.005183354116344086)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069002309977, 0.005183354131081252)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069003475704, 0.005183354130341292)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068991818699, 0.00518335412466953)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001211505, 0.0051833541325208956)   (rho_normalized calls: 147) 


Obj funtion: (0.01121406900139392, 0.005183354129610532)   (rho_normalized calls: 147) 


Obj funtion: (0.01121406900453731, 0.005183354130625059)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068996424192, 0.0051833541348173225)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068992635105, 0.005183354137222496)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069029469068, 0.005183354150575162)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068988093849, 0.005183354088015876)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068986229356, 0.005183354149140422)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068960345597, 0.0051833541387733845)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001444251, 0.005183354131630781)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001459798, 0.005183354131620911)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001094933, 0.005183354131208737)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001718514, 0.005183354132252131)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001442915, 0.005183354131895521)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001608892, 0.00518335413176239)   (rho_normalized calls: 147) 


Obj funtion: (0.01121406900129712, 0.005183354131724175)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069001313163, 0.005183354131713989)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069002138536, 0.005183354132654646)   (rho_normalized calls: 147) 


Obj funtion: (0.01121406899899493, 0.005183354124751702)   (rho_normalized calls: 147) 


Obj funtion: (0.011214069000360921, 0.005183354127005203)   (rho_normalized calls: 147) 


Obj funtion: (0.011214068999646576, 0.00518335414479637)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569142728, 0.005211350101202627)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956868933, 0.005211350101490428)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819551316513, 0.005211350112518034)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819563076815, 0.005211350060728867)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819565814364, 0.005211349959148415)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819550070665, 0.005211350240061285)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819902088704, 0.005211350085972781)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569869903, 0.005211350100741045)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819570980924, 0.00521135010003581)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819559292364, 0.00521135009389415)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956894341, 0.005211350101936991)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956910733, 0.005211350099177681)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819572253896, 0.005211350100172424)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819565022316, 0.005211350103818111)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956133249, 0.005211350106160272)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681959797844, 0.005211350121210588)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681955510785, 0.0052113500593428475)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681955383406, 0.005211350118652702)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819528248433, 0.005211350108433242)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569156115, 0.00521135010119413)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956918977, 0.0052113501011727655)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956879883, 0.005211350100746235)   (rho_normalized calls: 147) 


Obj funtion: (0.01119681956944717, 0.005211350101803244)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569165892, 0.005211350101452929)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569328824, 0.005211350101320129)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569061559, 0.005211350101254152)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819568987684, 0.005211350101301045)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819569906483, 0.0052113501022747625)   (rho_normalized calls: 147) 


Obj funtion: (0.0111968195665358, 0.005211350094364743)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819568067345, 0.0052113500965772774)   (rho_normalized calls: 147) 


Obj funtion: (0.011196819567359486, 0.0052113501144331505)   (rho_normalized calls: 147) 

window 1: gates [0,6) obj=0.011197 time=5.9s

Obj funtion: (0.08435797188031778, 0.007674126408892852)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797221320876, 0.007674126596035707)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797233847882, 0.007674126487227172)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797277074637, 0.007674126565359414)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797333497522, 0.0076741264527565856)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797181428746, 0.007674126570404377)   (rho_normalized calls: 651) 


Obj funtion: (0.0843579715084467, 0.007674126729077123)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188343498, 0.00767412640782858)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797189235082, 0.007674126407831489)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797190982074, 0.007674126404992583)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797189782947, 0.007674126402148783)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797190067792, 0.0076741264068449005)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797191094224, 0.0076741264038486315)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797183951091, 0.0076741264057420735)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797190827124, 0.007674126380998559)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797191858214, 0.007674126413163824)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797185500239, 0.007674126422458283)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797179316908, 0.007674126393399739)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188272345, 0.007674126399357109)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188050433, 0.007674126408982579)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188103694, 0.007674126408680119)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188163847, 0.007674126406256905)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797187854087, 0.007674126412741524)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797187978127, 0.007674126409574621)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797187952788, 0.007674126411951691)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797187852062, 0.007674126417242936)   (rho_normalized calls: 651) 


Obj funtion: (0.0843579718873044, 0.007674126410031975)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797188829171, 0.007674126399634986)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797186881512, 0.007674126424152536)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797187752991, 0.0076741264069287735)   (rho_normalized calls: 651) 


Obj funtion: (0.08435797189922573, 0.007674126390667879)   (rho_normalized calls: 651) 


Obj funtion: (0.06788669166110864, 0.007788089788180303)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669194227777, 0.007788089969488459)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669243613982, 0.007788090042047951)   (rho_normalized calls: 609) 


Obj funtion: (0.067886691628713, 0.007788089883607135)   (rho_normalized calls: 609) 


Obj funtion: (0.0678866918546075, 0.007788089851777217)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669260104993, 0.007788090068247871)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669330196281, 0.0077880900016329925)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166350378, 0.0077880897885809685)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669167531002, 0.007788089787902349)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669168074758, 0.007788089790093764)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669167424695, 0.007788089788290754)   (rho_normalized calls: 609) 


Obj funtion: (0.0678866916774074, 0.007788089790822892)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669167894346, 0.00778808979353826)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669162624676, 0.0077880897595463015)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669172684494, 0.007788089779996053)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669168135612, 0.007788089802832222)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669167247251, 0.007788089805894278)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669165193831, 0.00778808977484441)   (rho_normalized calls: 609) 


Obj funtion: (0.067886691792481, 0.007788089743976437)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166125093, 0.007788089788096328)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166209033, 0.007788089787744907)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166127344, 0.007788089788665752)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166066905, 0.007788089788713381)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166110511, 0.007788089789265249)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669165925475, 0.007788089788356492)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669165960949, 0.007788089786916703)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669167017597, 0.007788089789584582)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669166599402, 0.007788089789450061)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669165627839, 0.007788089790893219)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669165273399, 0.00778808978553512)   (rho_normalized calls: 609) 


Obj funtion: (0.06788669169054302, 0.0077880897896730325)   (rho_normalized calls: 609) 


Obj funtion: (0.060328088904989516, 0.009939430613422902)   (rho_normalized calls: 399) 


Obj funtion: (0.060328089113974345, 0.009939430775170828)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808956232615, 0.00993943073285676)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088582603245, 0.009939430700082807)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808854111907, 0.009939430639440666)   (rho_normalized calls: 399) 


Obj funtion: (0.060328089945069475, 0.009939430956627249)   (rho_normalized calls: 399) 


Obj funtion: (0.060328087756672186, 0.009939430974603786)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890665356, 0.009939430613811029)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808891866358, 0.009939430612708227)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088914177826, 0.009939430607071913)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808891585687, 0.009939430610147487)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088916864295, 0.00993943062016791)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808894219155, 0.009939430621402099)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808887789372, 0.009939430586302133)   (rho_normalized calls: 399) 


Obj funtion: (0.0603280889781007, 0.009939430612168286)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808889181299, 0.00993943060131449)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808891489327, 0.009939430608046345)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088952250544, 0.00993943057890756)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808887070809, 0.009939430567573342)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890508534, 0.009939430613338993)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890605645, 0.00993943061311793)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890476177, 0.009939430613469552)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088905389474, 0.009939430613864847)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088904733006, 0.009939430614300866)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890492726, 0.009939430613341987)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088903831935, 0.009939430612042856)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808891384338, 0.0099394306140973)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088909039755, 0.009939430612739181)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808890308224, 0.009939430614977741)   (rho_normalized calls: 399) 


Obj funtion: (0.06032808889598644, 0.009939430606968894)   (rho_normalized calls: 399) 


Obj funtion: (0.060328088919673575, 0.009939430614496932)   (rho_normalized calls: 399) 


Obj funtion: (0.05507114176400616, 0.008774926185509272)   (rho_normalized calls: 399) 


Obj funtion: (0.0550711419427953, 0.008774926324395254)   (rho_normalized calls: 399) 


Obj funtion: (0.055071142183899316, 0.0087749260408236)   (rho_normalized calls: 399) 


Obj funtion: (0.05507114166655229, 0.008774924523477515)   (rho_normalized calls: 399) 


Obj funtion: (0.0550711415626799, 0.008774923412898592)   (rho_normalized calls: 399) 


Obj funtion: (0.05507114259006756, 0.00877492770829621)   (rho_normalized calls: 399) 


Obj funtion: (0.05507114107557286, 0.008774926516610349)   (rho_normalized calls: 399) 


